branch_id,branch_name,city,state,region,opened_date
1,Mumbai Branch 1,Mumbai,Maharashtra,West,19-10-2019
2,Bangalore Branch 2,Bangalore,Karnataka,South,15-11-2017
3,Mumbai Branch 3,Mumbai,Maharashtra,West,22-06-2016
4,Bangalore Branch 4,Bangalore,Karnataka,South,03-09-2021
5,Bangalore Branch 5,Bangalore,Karnataka,South,14-12-2021
6,Hyderabad Branch 6,Hyderabad,Telangana,South,11-08-2019
7,Bangalore Branch 7,Bangalore,Karnataka,South,18-04-2020
8,Bangalore Branch 8,Bangalore,Karnataka,South,02-08-2016
9,Delhi Branch 9,Delhi,Delhi,North,31-03-2024
10,Chennai Branch 10,Chennai,Tamil Nadu,South,19-08-2024
